Name,Type,Attack Type,Accuracy,Damage Pool,Added Effect,Rank
Attack Order,Bug,Physical,Tough+Nature,Strength+3,High Critical; Ranged,2
Bug Bite,Bug,Physical,Dexterity+Brawl,Strength+2,If target is holding a berry; the user eats it and gains its effects.,1
Bug Buzz,Bug,Special,Special+Perform,Special+3,Sound Based. Roll 1 Chance Dice to reduce foe's Sp. Defense by 1,3
Defend Order,Bug,Status,Tough+Nature,-,User increases its Defense and Sp. Defense by 1.,2
Fell Stinger,Bug,Physical,Dexterity+Brawl,Strength+1,If the foe faints due to damage from this attack; increase the user's Strength by 2,2
First Impression,Bug,Physical,Strength+Intimidate,Strength+3,Priority 2. This move will only work on the first Round the Pokemon is out in battle. From the second round on; it will fail automatically.,2
Fury Cutter,Bug,Physical,Dexterity+Brawl,Strength+1,Successive Actions,1
Heal Order,Bug,Status,Tough+Nature,-,Basic Heal,2
Infestation,Bug,Special,Dexterity+Channel,Special+1,Blocks. Roll 2 dice of Damage against the foe at the end of each Round. Lasts 4 Rounds.,1
Leech Life,Bug,Physical,Dexterity+Brawl,Strength+1,The user restores HP equal to half the damage dealt; rounded down.,2
Bite,Dark,Physical,Dexterity+Brawl,Strength+2,Roll 3 Chance Dice to Flinch the foe.,2
Dragon Dance,Dragon,Status,Tough+Perform,-,Increase the User’s Strength and Dexterity by 1.,4
Dragon Rage,Dragon,Special,Dexterity+Channel,2 Automatic Damage,Set Damage. Do not add STAB or modify by stats.,2
Ember,Fire,Special,Dexterity+Channel,Special+2,Roll 1 Chance Die to Burn the Foe,1
Fire Fang,Fire,Physical,Dexterity+Brawl,Strength+2,User has -1 success on their accuracy roll. Roll 2 Chance Dice to Flinch the Foe. Roll 2 Chance Dice to Burn the Foe,2
Fire Pledge,Fire,Special,Dexterity+Channel,Special+2,Area attack. All flammable plants and objects in the battlefield are covered in flames. Roll 1 Dice of Fire Damage at the end of every Round against everyone on the field. Battlefield effect cannot be Evaded or Clashed.,4
Fire Spin,Fire,Special,Dexterity+Channel,Special+2,User has -2 successes on their accuracy roll. Blocks. Roll 2 Dice of Damage against the foe at the end of each Round. Lasts 4 Rounds.,2
Flame Burst,Fire,Special,Dexterity+Channel,Special+3,After dealing damage; the user may roll 1 Dice of Damage against two other Targets.,2
Flamethrower,Fire,Special,Dexterity+Channel,Special+3,Roll 1 Chance Die to Burn the foe.,3
Inferno,Fire,Special,Dexterity+Channel,Special+4,User has -3 successes on their accuracy roll. Lethal. Burn the foe.,3
Grass Pledge,Grass,Special,Dexterity+Channel,Special+2,Area Attack. Reduce the Dexterity of those affected by 1. Pokemon on the ground that enter any side of the field will have their Dexterity reduced by 1 until the end of the scene. The battlefield effect cannot be evaded or clashed.,4
Grassy Terrain,Grass,Status,Special+Nature,-,If successful; spend 1 Will point to activate. Everyone on the user’s side of the field heals 1 HP at the end of each Round. Add 1 Extra Die to Damage Rolls of Grass-Type Moves. Battlefield effect cannot be clashed or evaded.,4
Leech Seed,Grass,Status,Special+Nature,-,User has -1 success on their accuracy roll. If successful; spend 1 Will point to activate. At the end of each Round; Roll 1 Dice of Damage to the foe. User heals 1 HP for every damage dealt this way. Grass-Type Pokemon are immune to this move.,1
Razor Leaf,Grass,Physical,Dexterity+Channel,Strength+2,Target All Foes in Range. Ranged. High Critical,2
Sleep Powder,Grass,Status,Special+Nature,-,User has -2 successes on their accuracy roll. Put the Target to Sleep.,2
Solar Beam,Grass,Physical,Strength+Brawl,Strength+5,Charge Move. If there is Sunny Weather; you skip this Move’s Charge action. If performed under Rain; Sandstorm; or Hail Weather; this Move takes two actions to Charge.,4
Synthesis,Grass,Status,Special+Nature,-,Basic Heal. If successful; spend 1 Will point to activate. If Sunny Weather is in effect; this Move becomes a Complete Heal. If Rain/Sandstorm Weather is in effect; this Move only heals 1 HP.,3
Vine Whip,Grass,Physical,Dexterity+Brawl,Strength+2,-,1
Worry Seed,Grass,Status,Special+Nature,-,Until the end of the Scene; Target’s Ability is now “Insomnia”,3
Icy Wind,Ice,Special,Dexterity+Channel,Special+2,Target all foes in Range. Reduce the Dexterity of those affected by 1.,4
Mist,Ice,Status,Special+Nature,-,For the next 4 Rounds; the User and Allies cannot have their Attributes or Traits reduced.,2
Double-Edge,Normal,Physical,Strength+Brawl,Strength+5,Recoil,3
Growl,Normal,Status,Tough/Cute+Perform,-,Sound based. Reduce all foe's Strength by 1.,0
